@RELATION music_speech
@ATTRIBUTE RMS_MEAN NUMERIC
@ATTRIBUTE PAR_MEAN NUMERIC
@ATTRIBUTE ZCR_MEAN NUMERIC
@ATTRIBUTE MAD_MEAN NUMERIC
@ATTRIBUTE MEAN_AD_MEAN NUMERIC
@ATTRIBUTE RMS_STD NUMERIC
@ATTRIBUTE PAR_STD NUMERIC
@ATTRIBUTE ZCR_STD NUMERIC
@ATTRIBUTE MAD_STD NUMERIC
@ATTRIBUTE MEAN_AD_STD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
0.055345,3.428674,0.083309,0.034090,0.041998,0.019296,0.735065,0.033664,0.014114,0.016151,music
0.106669,3.252719,0.215092,0.072949,0.085551,0.019519,0.334595,0.019650,0.014154,0.015885,music
0.072979,2.989174,0.088107,0.048847,0.057736,0.033117,0.338376,0.024848,0.021909,0.026549,music
0.092446,2.961935,0.092636,0.065673,0.075048,0.031147,0.381625,0.028160,0.024597,0.026108,music
0.123395,3.177251,0.162106,0.082731,0.098632,0.071860,0.570305,0.029617,0.049717,0.058378,music
0.021796,2.912316,0.065838,0.012226,0.014528,0.006852,0.369213,0.023216,0.005336,0.006298,music
0.059677,2.795882,0.081162,0.041097,0.047256,0.025736,0.391216,0.066420,0.019921,0.022165,music
0.140305,2.692681,0.063971,0.099668,0.114231,0.078169,0.432259,0.043320,0.060177,0.065561,music
0.128018,2.777696,0.064931,0.086387,0.103314,0.066209,0.383990,0.036170,0.048013,0.054771,music
0.040085,3.068854,0.079864,0.025810,0.030631,0.011538,0.429773,0.031841,0.008533,0.009731,music
0.045019,2.651832,0.043164,0.026438,0.033152,0.032536,0.727888,0.025393,0.023540,0.027929,music
0.084445,3.075589,0.059280,0.055006,0.066128,0.035683,0.483598,0.021086,0.024328,0.028536,music
0.156844,2.741648,0.079956,0.111546,0.127619,0.040490,0.391231,0.050719,0.030837,0.032940,music
0.119592,3.329026,0.107071,0.077165,0.093876,0.039297,0.513250,0.032511,0.026780,0.031381,music
0.089608,2.894817,0.072681,0.062082,0.071869,0.049504,0.394605,0.024761,0.036723,0.041137,music
0.090613,2.812153,0.081798,0.058477,0.071281,0.058396,0.471761,0.051958,0.038434,0.046551,music
0.110373,2.987209,0.071194,0.073099,0.087660,0.030571,0.389211,0.027155,0.023941,0.025563,music
0.081202,3.245355,0.137273,0.053765,0.064026,0.030638,0.426799,0.061717,0.022280,0.025100,music
0.088959,3.297494,0.123555,0.057974,0.069692,0.025734,0.572950,0.044744,0.016921,0.020027,music
0.055734,2.889405,0.093987,0.038163,0.044135,0.009961,0.311572,0.042003,0.008043,0.008522,music
0.061928,3.116036,0.150552,0.041723,0.048787,0.010101,0.289505,0.026526,0.007527,0.008435,music
0.077580,2.789444,0.060260,0.052525,0.061941,0.034455,0.427603,0.028429,0.023746,0.027846,music
0.078004,3.034778,0.088017,0.051444,0.061444,0.027439,0.469387,0.036141,0.017913,0.021404,music
0.091914,3.143278,0.095904,0.061825,0.073026,0.019700,0.492271,0.026827,0.013161,0.015458,music
0.083300,3.068515,0.098018,0.056118,0.066061,0.035345,0.484706,0.074547,0.025734,0.029146,music
0.074780,2.854642,0.083413,0.052633,0.060288,0.028296,0.357842,0.022338,0.023174,0.024551,music
0.066443,2.954516,0.072570,0.044352,0.052105,0.042998,0.396218,0.028155,0.029541,0.034899,music
0.026811,2.446014,0.043242,0.012848,0.016741,0.017182,0.911063,0.081933,0.012305,0.015947,speech
0.047546,3.159240,0.073270,0.027160,0.034749,0.029847,0.839218,0.064000,0.020000,0.025095,speech
0.061442,3.296083,0.095145,0.037427,0.046520,0.033815,1.069922,0.088713,0.023046,0.026704,speech
0.025467,3.805080,0.152875,0.014662,0.019153,0.029235,1.096574,0.083192,0.017914,0.022413,speech
0.042094,3.558897,0.129915,0.023536,0.031263,0.047201,1.090389,0.106987,0.026075,0.035283,speech
0.022669,2.913379,0.081779,0.015432,0.018121,0.014035,0.815497,0.062941,0.011084,0.011939,speech
0.070588,2.970135,0.086438,0.044723,0.054094,0.050535,0.980728,0.062312,0.038668,0.043049,speech
0.069593,3.338036,0.083040,0.041672,0.052867,0.054313,0.923243,0.085931,0.032780,0.041789,speech
0.084241,3.727429,0.166707,0.051656,0.065176,0.127024,1.238416,0.109276,0.083476,0.101247,speech
0.080270,3.712107,0.154724,0.050937,0.062529,0.077036,1.072708,0.069157,0.051537,0.061016,speech
0.074643,3.730812,0.163601,0.044904,0.056983,0.065462,0.886286,0.061994,0.042569,0.050841,speech
0.017029,3.454926,0.150908,0.010559,0.013207,0.021972,0.780460,0.080209,0.012540,0.016645,speech
0.049239,3.635650,0.175852,0.030599,0.038271,0.046892,0.955288,0.139206,0.031547,0.037244,speech
0.034548,3.647327,0.151875,0.021331,0.026831,0.041825,1.024924,0.102905,0.028323,0.033353,speech
0.045441,2.593656,0.080565,0.030213,0.034737,0.021663,0.709375,0.079307,0.019324,0.020542,speech
0.099386,2.906036,0.114949,0.068651,0.079933,0.061430,0.880697,0.101780,0.048703,0.053040,speech
0.081338,2.772160,0.108582,0.054906,0.064728,0.037910,0.786768,0.097989,0.030419,0.032990,speech
0.021190,2.876449,0.114340,0.014223,0.016947,0.011963,0.914371,0.133488,0.009626,0.010384,speech
0.029813,3.843714,0.167031,0.017510,0.022597,0.038016,0.932790,0.083043,0.023786,0.029483,speech
0.012840,3.885950,0.156486,0.007316,0.009518,0.013027,1.217074,0.063798,0.006822,0.009332,speech
0.055799,2.895101,0.070601,0.035237,0.042631,0.033357,0.725752,0.040234,0.026358,0.028907,speech
0.026327,3.512988,0.085235,0.013868,0.019183,0.023528,1.224173,0.105902,0.014203,0.018262,speech
0.045480,2.738769,0.058309,0.025547,0.032643,0.033760,0.931085,0.096264,0.026073,0.029932,speech
0.044457,2.807291,0.106877,0.031436,0.036172,0.025387,0.848725,0.109525,0.020649,0.021807,speech
0.011838,2.756485,0.096645,0.008005,0.009284,0.006169,0.900937,0.094893,0.005289,0.005582,speech
0.047696,3.469231,0.102159,0.027384,0.035588,0.042778,1.114346,0.086568,0.022844,0.031088,speech
0.044206,3.053402,0.062344,0.026060,0.032590,0.027314,0.708489,0.065847,0.020820,0.024100,speech
0.039476,4.155705,0.153334,0.020124,0.028843,0.035007,1.171708,0.119619,0.018031,0.025904,speech
0.039835,2.905374,0.055300,0.024956,0.030771,0.021945,0.770377,0.045148,0.015042,0.017578,speech
0.026760,3.946443,0.122329,0.015183,0.019906,0.023110,1.046111,0.068971,0.013664,0.017400,speech
0.044607,2.836141,0.086662,0.028033,0.033555,0.022891,0.822698,0.064690,0.019228,0.020791,speech
0.031807,2.826260,0.047707,0.016709,0.021539,0.014548,0.743703,0.082188,0.010944,0.013156,speech
0.035125,3.988694,0.136636,0.018961,0.025766,0.032448,1.096416,0.089121,0.017753,0.023978,speech
0.031111,2.885689,0.123890,0.021402,0.025044,0.017879,0.920280,0.117955,0.014219,0.015195,speech
0.077928,3.671730,0.185417,0.047808,0.060368,0.089773,1.177638,0.157856,0.062366,0.072287,speech
0.074891,3.321862,0.066883,0.042368,0.055276,0.054969,1.140497,0.091072,0.039343,0.046057,speech
0.022443,3.845977,0.153038,0.012275,0.016696,0.024657,1.095142,0.087865,0.013133,0.018205,speech
0.042623,3.973866,0.149256,0.023728,0.031542,0.035006,1.073768,0.106168,0.021171,0.026910,speech
0.084582,3.020234,0.130711,0.055567,0.066931,0.036803,0.860367,0.105682,0.029560,0.031870,speech
0.032388,2.963765,0.118450,0.022382,0.026231,0.015785,0.926334,0.094963,0.012757,0.013554,speech
0.095794,2.947366,0.100087,0.064226,0.076869,0.052525,0.796484,0.073671,0.039917,0.043840,speech
0.020346,2.860238,0.092037,0.013801,0.016296,0.012162,0.918079,0.091472,0.009681,0.010450,speech
0.039275,2.233003,0.017393,0.022970,0.028030,0.046302,0.740845,0.029669,0.035327,0.040914,speech
0.078416,3.050321,0.078759,0.051137,0.061053,0.045895,0.881301,0.037632,0.036096,0.039305,speech
0.039463,3.756954,0.162726,0.023945,0.030145,0.037670,0.902941,0.049639,0.024612,0.029508,speech
0.038508,3.344381,0.149046,0.025396,0.030436,0.042331,0.667143,0.059136,0.030010,0.034200,speech
0.035009,3.423126,0.140122,0.022261,0.026875,0.021141,0.650489,0.049328,0.014089,0.016370,speech
0.062850,2.924689,0.093859,0.041231,0.049034,0.028460,0.776394,0.068494,0.023940,0.025223,speech
0.049530,3.529296,0.145164,0.031707,0.038903,0.043161,0.998789,0.120994,0.031612,0.035352,speech
0.034284,3.679890,0.136444,0.020973,0.026322,0.029008,1.003241,0.110755,0.020738,0.023654,speech
0.015934,2.820762,0.100359,0.010939,0.012723,0.008097,0.909216,0.105517,0.006813,0.007163,speech
0.063074,2.816086,0.088574,0.042034,0.049595,0.032295,0.726300,0.082047,0.025237,0.028070,speech
0.069949,2.978181,0.078350,0.045155,0.054242,0.038498,0.817338,0.057249,0.030562,0.033261,speech
0.044135,2.707081,0.105783,0.028901,0.033747,0.021021,0.722592,0.095903,0.018227,0.019514,speech
0.059346,2.898900,0.072483,0.038227,0.045963,0.030843,0.869559,0.046427,0.025256,0.027315,speech
0.149224,2.863776,0.105753,0.101850,0.119779,0.074079,0.695919,0.084411,0.057118,0.062439,speech
0.059998,2.778080,0.095146,0.040795,0.047070,0.032417,0.823366,0.090796,0.027621,0.029269,speech
0.067738,4.291615,0.139487,0.038281,0.050373,0.063106,1.202865,0.111894,0.038523,0.048313,speech
0.075334,2.860281,0.072876,0.044481,0.056830,0.051940,0.889092,0.117964,0.039350,0.044885,speech
0.073254,2.872405,0.080005,0.048997,0.057454,0.046381,0.849580,0.053626,0.038095,0.040408,speech
0.049085,2.924320,0.066308,0.030300,0.036975,0.027672,0.889534,0.038468,0.021874,0.024404,speech
0.075041,2.974607,0.087611,0.049794,0.059107,0.044170,0.790497,0.046119,0.034870,0.037941,speech
0.044347,2.922331,0.086362,0.025962,0.032459,0.026482,0.728739,0.119679,0.020762,0.023304,speech
0.062850,2.822102,0.082504,0.042284,0.049285,0.032333,0.799688,0.070962,0.027549,0.029112,speech
