@RELATION music_speech
@ATTRIBUTE RMS NUMERIC
@ATTRIBUTE PAR NUMERIC
@ATTRIBUTE ZCR NUMERIC
@ATTRIBUTE MAD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
0.065720,13.892786,0.145191,0.019934,speech
0.044932,12.764550,0.136829,0.013188,speech
0.017874,3.911163,0.100268,0.008914,speech
0.070883,4.599059,0.088593,0.032297,speech
0.079950,4.287896,0.078405,0.031840,speech
0.048903,3.984451,0.105654,0.022834,speech
0.066858,4.000651,0.072457,0.029214,speech
0.166473,4.103180,0.105643,0.082514,speech
0.068230,4.125142,0.095104,0.030374,speech
0.092532,10.810045,0.139439,0.019965,speech
0.091509,5.508313,0.072807,0.026925,speech
0.086730,4.308881,0.080003,0.029397,speech
0.056308,4.373981,0.066293,0.020117,speech
0.087127,4.429429,0.087581,0.033183,speech
0.051744,5.625222,0.086262,0.017156,speech
0.070709,4.163124,0.082435,0.031992,speech
